date,btc_mcap,total_mcap,btc_dominance
2013-04-30,1501657493.0,1592765051.0,94.27991228569466
2013-05-31,1436386730.0,1501246629.0,95.67959735948223
2013-06-30,1082693996.0,1144211142.0,94.6236193878979
2013-07-31,1267183179.0,1339436875.0,94.60566620580757
2013-08-31,1602407100.0,1718392921.0,93.25033177321848
2013-09-30,1549941780.0,1700443527.0,91.14926519991393
2013-10-31,2432069229.0,2549295491.0,95.40162125521134
2013-11-30,13593664650.0,15218504256.0,89.32326345173249
2013-12-31,9205343763.0,10444532541.0,88.135526667799
2014-01-31,10087796517.0,11276779717.0,89.45635873149513
2014-02-28,7065922360.0,8035162200.0,87.93751991714616
2014-03-31,5756309240.0,7080284651.0,81.30053414147686
2014-04-30,5690810165.0,6704999838.0,84.87412829971794
2014-05-31,8007248676.0,9447775297.0,84.7527425693812
2014-06-30,8269625590.124999,9025562070.474195,91.62449413735537
2014-07-31,7630850376.333778,8140456540.3987,93.73983312193984
2014-08-31,6342575501.242498,6860475510.057145,92.45096046104342
2014-09-30,5164012591.079999,5714895288.777052,90.36058108048138
2014-10-31,4526519245.630091,4986831200.741079,90.76944984537309
2014-11-30,5104546200.8,5801993056.991794,87.97918492247551
2014-12-31,4338943850.325,5538840020.797433,78.33668844077424
2015-01-31,3005342178.85,3700358256.7336774,81.2176003061614
2015-02-28,3522504178.955,4189045099.8304853,84.08847589388671
2015-03-31,3403299617.6200013,3911732507.9841566,87.00236048026282
2015-04-30,3333116826.64,3785364737.4918537,88.05272563638059
2015-05-31,3266430207.375,3767965624.079381,86.68949064982725
2015-06-30,3760650012.699992,4508934979.616722,83.40439659699113
2015-07-31,4090154891.219836,5060129531.3618355,80.83103141668096
2015-08-31,3350144206.29,3986773217.1141467,84.03147166507317
2015-09-30,3463401139.065,3985075673.1984777,86.90929415363462
2015-10-31,4617510889.9075,5147427317.581228,89.70521786944366
2015-11-30,5637217098.625,6151393815.748076,91.64129736244911
2015-12-31,6479728151.175,7078233082.759169,91.54443030363073
2016-01-31,5520342696.0,6244243535.811394,88.40690892884389
2016-02-29,6669535766.075,7865078833.117949,84.79935049082019
2016-03-31,6388090244.55,8051458204.009449,79.34078626116288
2016-04-30,6938342199.674998,8469119797.292234,81.92518662793435
2016-05-31,8293336919.625002,10388363220.086067,79.83295100415532
2016-06-30,10556309174.399996,12773413407.164125,82.64282097437918
2016-07-31,9847086965.691307,12208307011.112967,80.65890673233979
2016-08-31,9058256694.850403,11458980516.656876,79.04941178391255
2016-09-30,9669703048.380001,12325072081.134176,78.45554966920872
2016-10-31,11143032475.877998,13456514839.544357,82.80771513833746
2016-11-30,11890119632.989996,13971312755.599682,85.10381122364078
2016-12-31,15537921940.53077,17913081351.131847,86.74064297457677
2017-01-31,15624634422.4056,18367976094.638664,85.06454027325414
2017-02-28,19271383899.146996,22589765469.596836,85.31024337142415
2017-03-31,17519577833.28675,26230125522.01718,66.7918185087642
2017-04-30,22007601314.79,37597269132.878944,58.535105932851586
2017-05-31,38113024210.0,84229606722.57664,45.24896374683453
2017-06-30,40897674121.940735,104490954660.72762,39.13991814385434
2017-07-31,47322548226.26965,93370851305.37822,50.682357036134086
2017-08-31,77767841900.02457,172574686228.2127,45.06329612976054
2017-09-30,71329258156.47789,145141350095.6428,49.144684205758416
2017-10-31,106082152741.21794,180362194916.782,58.816179737756904
2017-11-30,173903131019.367,313099982182.84094,55.54236375453156
2017-12-31,248925602660.692,639914808253.7155,38.89980345039885
2018-01-31,168188285150.7701,497234118866.6663,33.82476760326053
2018-02-28,180884108725.43018,457445844393.74567,39.542190828109156
2018-03-31,116900853303.24556,266753248047.40903,43.823591337290566
2018-04-30,158592809944.5081,436058444479.18036,36.36962245598253
2018-05-31,125953862789.73985,328405626116.7502,38.35313794074968
2018-06-30,105857391286.9164,243433966200.2957,41.35444833896005
2018-07-31,140640772123.99832,300960053965.3985,46.73071069430625
2018-08-31,121103237785.70247,231486164386.40115,52.315540372233485
2018-09-30,114265552573.72394,224943289866.8823,50.79749328879488
2018-10-31,109890575608.10541,207580081767.67432,52.938882513350215
2018-11-30,74400715839.6163,140423518575.67114,52.983087586943924
2018-12-31,66494185030.58888,129803690023.02252,51.22672939328242
2019-01-31,60555372963.791016,115250739101.87712,52.54228600674088
2019-02-28,67155912259.18905,128983029651.27974,52.06569611580119
2019-03-31,72305792937.3489,145632526215.76035,49.64948065944075
2019-04-30,91885324029.79892,167663536199.40433,54.80340335928413
2019-05-31,147528939419.42154,262697583904.8381,56.15922964592767
2019-06-30,213020899675.1298,345185758270.2923,61.711960754860314
2019-07-31,170790961770.58182,266147236305.9401,64.1716082199911
2019-08-31,171703455568.1713,249386482171.25653,68.85034588613371
2019-09-30,144886125387.55658,213666064230.99173,67.80961024813092
2019-10-31,165289440818.62827,246161338854.02295,67.1467914450397
2019-11-30,139585890644.02713,209303612789.17642,66.69062649416698
2019-12-31,131377523457.07199,192319139831.79254,68.31224576606274
2020-01-31,172993102966.37723,261451630664.90274,66.16638898997688
2020-02-29,159030381910.26715,248752553175.84985,63.9311556323381
2020-03-31,117151628726.53436,178235939534.85168,65.72839856668016
2020-04-30,160483573440.17792,264213264880.04422,60.740165151450384
2020-05-31,177978616382.68933,273887007835.6719,64.98249690232618
2020-06-30,169175896894.16483,264611287801.5943,63.93374156472608
2020-07-31,205200775318.21756,334324746213.0087,61.37768072587655
2020-08-31,216179629567.18042,389323037573.2256,55.52705817634036
2020-09-30,200532996047.58585,351784520841.98016,57.00449683448814
2020-10-31,250845436637.92026,401395407709.19855,62.49334990390618
2020-11-30,336495192223.0139,552116517235.3442,60.94640926664761
2020-12-31,535967306917.84125,771945793070.3025,69.4306921197289
2021-01-31,636624676861.2642,1032576614992.9626,61.65398941032603
2021-02-28,869649724200.5775,1461849973986.5012,59.48966991660718
2021-03-31,1095293012032.8433,1895229414300.4355,57.79210705407589
2021-04-30,1001973605935.3958,2153078214998.5598,46.536795503087006
2021-05-31,668664301773.5417,1597340657987.7385,41.86109571742176
2021-06-30,674231340724.4149,1500216548696.9897,44.94226792192216
2021-07-31,786531956383.648,1682890007956.6992,46.736979402392734
2021-08-31,885729258052.6316,2122376154308.0498,41.73290659409064
2021-09-30,782626384092.2843,1923510726765.9246,40.68739379520619
2021-10-31,1166423768409.5984,2748484384181.6997,42.438799184113805
2021-11-30,1092574224475.6908,2753119950590.144,39.68494813462423
2021-12-31,892648631305.5416,2334049999579.327,38.244623357101446
2022-01-31,719570142321.8397,1797782445736.7275,40.02542932979643
2022-02-28,717619764688.0872,1789112794368.224,40.11037017604554
2022-03-31,895356010540.8462,2245097546941.132,39.880494803476935
2022-04-30,735829877665.6912,1850598840311.8645,39.76171721482806
2022-05-31,604926607440.7722,1373915394980.8545,44.029392905172436
2022-06-30,384067866465.5609,934123332938.8079,41.11532737944362
2022-07-31,451726702392.36206,1141627437548.6575,39.56866202885991
2022-08-31,379555151404.602,1017528928295.2059,37.30165706841559
2022-09-30,374830625219.6003,985771396000.0128,38.02409227337688
2022-10-31,395548335410.141,1057701023506.5361,37.39698899967044
2022-11-30,316170903326.0224,869369135728.6923,36.36785461230029
2022-12-31,319722045805.09534,829262009288.9207,38.555009420876765
2023-01-31,439295730927.16473,1075286900284.5294,40.85381592679345
2023-02-28,454364917718.867,1124724535889.3787,40.39788439038336
2023-03-31,542369769760.28796,1216261359036.508,44.59319255114211
2023-04-30,565714356650.6621,1255278158837.5706,45.06685252729422
2023-05-31,537414074116.4985,1206283476566.5024,44.55122569084373
2023-06-30,591688337868.8445,1216016897931.2087,48.657904250794125
2023-07-31,569135711632.8535,1226246096891.7622,46.412845926725076
2023-08-31,531729400483.3156,1130437098670.7004,47.0375044404138
2023-09-30,524946724658.764,1114821635610.335,47.087956305348314
2023-10-31,673508057017.6387,1322698206850.5652,50.91925380478948
2023-11-30,740494537382.5989,1486562516352.3706,49.812539280189554
2023-12-31,826609156660.5117,1729450086033.467,47.79606901268591
2024-01-31,839294111912.5715,1727018514400.4976,48.59786417541198
2024-02-29,1225273849241.6978,2399339255860.8184,51.06713634800688
2024-03-31,1370247487960.0945,2759291466930.8667,49.659396420495135
2024-04-30,1257159131219.0603,2477307756355.3643,50.746990477622504
2024-05-31,1346147846430.124,2677635519148.375,50.27375222667602
2024-06-30,1199792912680.844,2369867265843.528,50.627008945743256
2024-07-31,1306758338817.987,2484932679859.7866,52.587273265355485
2024-08-31,1168247205700.9673,2173325941374.0454,53.75388861195687
2024-09-30,1297825615076.3352,2411084769844.1504,53.82745689029528
2024-10-31,1431085552900.1965,2541578796031.82,56.30695200693986
2024-11-30,1926826079390.2441,3562646783857.3867,54.08411768802998
2024-12-31,1833188187477.531,3393595055715.5464,54.01906112486953
2025-01-31,2076760153260.6191,3708652702995.7954,55.99769834428127
2025-02-28,1679555320077.2097,2917564490547.6294,57.56703324017889
2025-03-31,1633996304187.2593,2761955521241.7407,59.16084787102708
2025-04-30,1870818389258.4038,3055787492662.651,61.222136478746826
2025-05-31,2066830946978.0637,3374422843791.5864,61.24990976696093
2025-06-30,2155183166489.813,3461179631531.975,62.26730178508225
2025-07-31,2343717963709.7124,3931253489999.2715,59.617574131810734
2025-08-31,2300222904153.9766,4003226485169.9624,57.792308181889894
